Week,BE,BG,CZ,DK1,DK2,DELU,EE,SEM,EL,ES,FR,HR,IT,LV,LT,HU,NL,AT,PL,PT,RO,SI,SK,FI,SE1,SE2,SE3,SE4,GB,NO1,NO2,NO3,NO4,NO5,CH,ME,MK,AL,RS,BA,XK
35,2295.496976,642.5855948,1537.238255,583.844242,359.4525066,15299.84276,215.8125844,1089.041096,1209.004382,4902.672095,9923.825314,313.1975957,6282.638333,140.8713404,314.1522144,1132.522822,3641.287972,2124.344573,3566.124191,973.0536161,1089.922492,404.717535,580.0287548,1990.167652,220.7561569,310.3990638,1726.237581,460.4214509,8474.790781,780.9459848,744.0657978,601.3979075,420.8422924,350.3917067,1141.784453,86.12699454,184.5392044,170.6925703,798.4348207,205.9349764,101.0190937
36,2295.496976,642.5855948,1537.238255,583.844242,359.4525066,15299.84276,215.8125844,1089.041096,1209.004382,4902.672095,9923.825314,313.1975957,6282.638333,140.8713404,314.1522144,1132.522822,3641.287972,2124.344573,3566.124191,973.0536161,1089.922492,404.717535,580.0287548,1990.167652,220.7561569,310.3990638,1726.237581,460.4214509,8474.790781,780.9459848,744.0657978,601.3979075,420.8422924,350.3917067,1141.784453,86.12699454,184.5392044,170.6925703,798.4348207,205.9349764,101.0190937
37,2295.496976,642.5855948,1537.238255,583.844242,359.4525066,15299.84276,215.8125844,1089.041096,1209.004382,4902.672095,9923.825314,313.1975957,6282.638333,140.8713404,314.1522144,1132.522822,3641.287972,2124.344573,3566.124191,973.0536161,1089.922492,404.717535,580.0287548,1990.167652,220.7561569,310.3990638,1726.237581,460.4214509,8474.790781,780.9459848,744.0657978,601.3979075,420.8422924,350.3917067,1141.784453,86.12699454,184.5392044,170.6925703,798.4348207,205.9349764,101.0190937
38,2295.496976,642.5855948,1537.238255,583.844242,359.4525066,15299.84276,215.8125844,1089.041096,1209.004382,4902.672095,9923.825314,313.1975957,6282.638333,140.8713404,314.1522144,1132.522822,3641.287972,2124.344573,3566.124191,973.0536161,1089.922492,404.717535,580.0287548,1990.167652,220.7561569,310.3990638,1726.237581,460.4214509,8474.790781,780.9459848,744.0657978,601.3979075,420.8422924,350.3917067,1141.784453,86.12699454,184.5392044,170.6925703,798.4348207,205.9349764,101.0190937
39,2295.496976,642.5855948,1537.238255,583.844242,359.4525066,15299.84276,215.8125844,1089.041096,1209.004382,4902.672095,9923.825314,313.1975957,6282.638333,140.8713404,314.1522144,1132.522822,3641.287972,2124.344573,3566.124191,973.0536161,1089.922492,404.717535,580.0287548,1990.167652,220.7561569,310.3990638,1726.237581,460.4214509,8474.790781,780.9459848,744.0657978,601.3979075,420.8422924,350.3917067,1141.784453,86.12699454,184.5392044,170.6925703,798.4348207,205.9349764,101.0190937
40,2295.496976,642.5855948,1537.238255,583.844242,359.4525066,15299.84276,215.8125844,1089.041096,1209.004382,4902.672095,9923.825314,313.1975957,6282.638333,140.8713404,314.1522144,1132.522822,3641.287972,2124.344573,3566.124191,973.0536161,1089.922492,404.717535,580.0287548,1990.167652,220.7561569,310.3990638,1726.237581,460.4214509,8474.790781,780.9459848,744.0657978,601.3979075,420.8422924,350.3917067,1141.784453,86.12699454,184.5392044,170.6925703,798.4348207,205.9349764,101.0190937
41,2295.496976,642.5855948,1537.238255,583.844242,359.4525066,15299.84276,215.8125844,1089.041096,1209.004382,4902.672095,9923.825314,313.1975957,6282.638333,140.8713404,314.1522144,1132.522822,3641.287972,2124.344573,3566.124191,973.0536161,1089.922492,404.717535,580.0287548,1990.167652,220.7561569,310.3990638,1726.237581,460.4214509,8474.790781,780.9459848,744.0657978,601.3979075,420.8422924,350.3917067,1141.784453,86.12699454,184.5392044,170.6925703,798.4348207,205.9349764,101.0190937
42,2295.496976,642.5855948,1537.238255,583.844242,359.4525066,15299.84276,215.8125844,1089.041096,1209.004382,4902.672095,9923.825314,313.1975957,6282.638333,140.8713404,314.1522144,1132.522822,3641.287972,2124.344573,3566.124191,973.0536161,1089.922492,404.717535,580.0287548,1990.167652,220.7561569,310.3990638,1726.237581,460.4214509,8474.790781,780.9459848,744.0657978,601.3979075,420.8422924,350.3917067,1141.784453,86.12699454,184.5392044,170.6925703,798.4348207,205.9349764,101.0190937
43,2295.496976,642.5855948,1537.238255,583.844242,359.4525066,15299.84276,215.8125844,1089.041096,1209.004382,4902.672095,9923.825314,313.1975957,6282.638333,140.8713404,314.1522144,1132.522822,3641.287972,2124.344573,3566.124191,973.0536161,1089.922492,404.717535,580.0287548,1990.167652,220.7561569,310.3990638,1726.237581,460.4214509,8474.790781,780.9459848,744.0657978,601.3979075,420.8422924,350.3917067,1141.784453,86.12699454,184.5392044,170.6925703,798.4348207,205.9349764,101.0190937
44,2295.496976,642.5855948,1537.238255,583.844242,359.4525066,15299.84276,215.8125844,1089.041096,1209.004382,4902.672095,9923.825314,313.1975957,6282.638333,140.8713404,314.1522144,1132.522822,3641.287972,2124.344573,3566.124191,973.0536161,1089.922492,404.717535,580.0287548,1990.167652,220.7561569,310.3990638,1726.237581,460.4214509,8474.790781,780.9459848,744.0657978,601.3979075,420.8422924,350.3917067,1141.784453,86.12699454,184.5392044,170.6925703,798.4348207,205.9349764,101.0190937
45,2295.496976,642.5855948,1537.238255,583.844242,359.4525066,15299.84276,215.8125844,1089.041096,1209.004382,4902.672095,9923.825314,313.1975957,6282.638333,140.8713404,314.1522144,1132.522822,3641.287972,2124.344573,3566.124191,973.0536161,1089.922492,404.717535,580.0287548,1990.167652,220.7561569,310.3990638,1726.237581,460.4214509,8474.790781,780.9459848,744.0657978,601.3979075,420.8422924,350.3917067,1141.784453,86.12699454,184.5392044,170.6925703,798.4348207,205.9349764,101.0190937
46,2295.496976,642.5855948,1537.238255,583.844242,359.4525066,15299.84276,215.8125844,1089.041096,1209.004382,4902.672095,9923.825314,313.1975957,6282.638333,140.8713404,314.1522144,1132.522822,3641.287972,2124.344573,3566.124191,973.0536161,1089.922492,404.717535,580.0287548,1990.167652,220.7561569,310.3990638,1726.237581,460.4214509,8474.790781,780.9459848,744.0657978,601.3979075,420.8422924,350.3917067,1141.784453,86.12699454,184.5392044,170.6925703,798.4348207,205.9349764,101.0190937
47,2295.496976,642.5855948,1537.238255,583.844242,359.4525066,15299.84276,215.8125844,1089.041096,1209.004382,4902.672095,9923.825314,313.1975957,6282.638333,140.8713404,314.1522144,1132.522822,3641.287972,2124.344573,3566.124191,973.0536161,1089.922492,404.717535,580.0287548,1990.167652,220.7561569,310.3990638,1726.237581,460.4214509,8474.790781,780.9459848,744.0657978,601.3979075,420.8422924,350.3917067,1141.784453,86.12699454,184.5392044,170.6925703,798.4348207,205.9349764,101.0190937
48,2295.496976,642.5855948,1537.238255,583.844242,359.4525066,15299.84276,215.8125844,1089.041096,1209.004382,4902.672095,9923.825314,313.1975957,6282.638333,140.8713404,314.1522144,1132.522822,3641.287972,2124.344573,3566.124191,973.0536161,1089.922492,404.717535,580.0287548,1990.167652,220.7561569,310.3990638,1726.237581,460.4214509,8474.790781,780.9459848,744.0657978,601.3979075,420.8422924,350.3917067,1141.784453,86.12699454,184.5392044,170.6925703,798.4348207,205.9349764,101.0190937
49,2295.496976,642.5855948,1537.238255,583.844242,359.4525066,15299.84276,215.8125844,1089.041096,1209.004382,4902.672095,9923.825314,313.1975957,6282.638333,140.8713404,314.1522144,1132.522822,3641.287972,2124.344573,3566.124191,973.0536161,1089.922492,404.717535,580.0287548,1990.167652,220.7561569,310.3990638,1726.237581,460.4214509,8474.790781,780.9459848,744.0657978,601.3979075,420.8422924,350.3917067,1141.784453,86.12699454,184.5392044,170.6925703,798.4348207,205.9349764,101.0190937
50,2295.496976,642.5855948,1537.238255,583.844242,359.4525066,15299.84276,215.8125844,1089.041096,1209.004382,4902.672095,9923.825314,313.1975957,6282.638333,140.8713404,314.1522144,1132.522822,3641.287972,2124.344573,3566.124191,973.0536161,1089.922492,404.717535,580.0287548,1990.167652,220.7561569,310.3990638,1726.237581,460.4214509,8474.790781,780.9459848,744.0657978,601.3979075,420.8422924,350.3917067,1141.784453,86.12699454,184.5392044,170.6925703,798.4348207,205.9349764,101.0190937
51,2295.496976,642.5855948,1537.238255,583.844242,359.4525066,15299.84276,215.8125844,1089.041096,1209.004382,4902.672095,9923.825314,313.1975957,6282.638333,140.8713404,314.1522144,1132.522822,3641.287972,2124.344573,3566.124191,973.0536161,1089.922492,404.717535,580.0287548,1990.167652,220.7561569,310.3990638,1726.237581,460.4214509,8474.790781,780.9459848,744.0657978,601.3979075,420.8422924,350.3917067,1141.784453,86.12699454,184.5392044,170.6925703,798.4348207,205.9349764,101.0190937
52,2295.496976,642.5855948,1537.238255,583.844242,359.4525066,15299.84276,215.8125844,1089.041096,1209.004382,4902.672095,9923.825314,313.1975957,6282.638333,140.8713404,314.1522144,1132.522822,3641.287972,2124.344573,3566.124191,973.0536161,1089.922492,404.717535,580.0287548,1990.167652,220.7561569,310.3990638,1726.237581,460.4214509,8474.790781,780.9459848,744.0657978,601.3979075,420.8422924,350.3917067,1141.784453,86.12699454,184.5392044,170.6925703,798.4348207,205.9349764,101.0190937
